,상승 확률,하락 확률
1회,60.0,40.0
2회,60.0,40.0
3회,60.0,40.0
4회,65.0,35.0
5회,75.0,25.0
6회,90.0,10.0
7회,60.0,40.0
8회,60.0,40.0
9회,60.0,40.0
평균,65.6,34.4
