,상승 확률,하락 확률
1회,65.0,35.0
2회,65.0,35.0
3회,60.0,40.0
4회,60.0,40.0
5회,60.0,40.0
6회,60.0,40.0
7회,60.0,40.0
8회,60.0,40.0
9회,65.0,35.0
평균,61.7,38.3
